user_id	game_id	game_time
0	889	0
0	914	5
0	551	236
0	847	290
0	135	379
0	661	72
0	244	1025
0	643	500
0	783	0
0	919	682
0	220	257
0	51	380
0	495	353
0	293	297
0	932	432
0	924	436
0	897	0
0	583	204
0	6	319
0	382	681
0	40	78
0	323	0
0	118	480
0	447	399
0	81	404
0	584	0
0	106	0
0	120	124
0	362	256
0	377	311
0	285	0
1	706	0
1	174	575
1	415	486
1	871	31
1	24	469
1	48	137
1	910	490
1	849	81
1	516	229
1	103	331
4	514	70
4	710	0
4	536	662
4	845	0
4	738	61
4	396	298
4	788	528
4	231	16
4	455	145
4	358	296
5	219	587
5	35	352
5	220	570
5	492	904
5	594	239
5	298	658
5	363	262
5	799	250
5	974	421
5	190	386
5	447	344
5	127	1024
5	353	592
5	82	235
5	425	474
5	945	189
5	703	35
5	615	10
5	866	529
5	203	208
5	294	348
5	495	0
6	830	44
6	295	0
6	647	0
6	516	219
6	956	390
6	976	32
6	176	155
6	941	37
6	862	362
6	757	219
6	663	175
6	668	243
6	876	170
6	426	49
7	49	305
7	430	175
7	993	169
7	692	0
7	30	0
7	129	109
7	524	165
7	405	200
7	849	451
7	594	67
7	193	1515
7	550	7
7	658	431
8	559	448
8	499	581
8	244	1560
8	215	286
8	609	1760
8	641	188
8	161	312
8	738	951
8	794	189
8	367	80
8	64	501
9	830	201
9	5	443
9	464	384
9	487	454
9	327	277
9	616	848
9	563	367
9	959	190
9	47	389
9	12	0
9	749	422
9	881	348
9	678	413
10	295	40
10	818	212
10	973	1358
10	774	270
10	792	95
10	865	253
10	844	536
10	381	1384
10	992	0
10	618	483
10	190	218
10	327	334
10	346	393
10	511	84
10	572	0
10	931	179
10	746	0
10	616	288
11	358	162
11	892	202
12	4	90
12	262	124
12	774	628
12	788	473
12	485	157
12	703	0
12	827	267
12	350	266
12	628	301
12	65	225
12	535	26
12	171	685
12	885	875
12	122	0
12	36	182
13	578	975
13	213	456
13	710	175
13	647	237
13	608	173
13	161	928
13	795	211
14	393	1092
14	34	65
14	348	749
14	842	0
14	602	239
14	662	2176
14	866	0
14	183	0
14	793	0
14	585	923
14	621	412
14	872	1187
14	26	1209
14	995	152
14	877	1004
14	324	38
14	865	0
14	335	284
14	944	0
14	893	841
14	943	558
15	530	404
15	473	326
15	46	1335
15	866	111
15	902	234
15	682	619
15	749	619
15	938	71
15	30	472
15	395	649
15	348	1921
15	39	245
15	343	382
15	301	197
15	26	1265
15	387	0
15	865	687
16	358	642
16	202	294
16	732	511
16	415	125
16	359	159
16	436	101
16	153	68
16	0	171
17	275	0
17	590	712
17	814	404
17	720	527
17	855	0
17	164	122
17	580	148
17	849	15
17	79	619
17	957	165
17	378	500
18	682	313
18	644	574
18	191	1947
18	395	236
18	34	859
18	530	285
18	288	11
18	26	375
18	907	595
18	319	650
18	240	306
18	662	87
18	749	275
19	480	416
19	50	0
19	546	0
19	933	188
19	702	305
19	950	62
19	227	402
19	831	256
19	595	434
19	183	24
19	718	92
19	604	0
19	609	484
19	760	132
19	959	270
19	259	583
19	342	520
19	570	265
19	226	232
19	834	0
20	406	578
20	348	283
20	893	127
20	10	367
20	772	458
20	870	379
20	938	552
20	392	100
20	129	497
20	393	415
20	324	68
20	614	306
20	872	913
20	749	294
20	319	326
20	422	223
20	343	378
20	944	166
20	74	95
20	301	192
21	270	181
21	70	1248
21	976	581
21	842	0
21	772	544
21	392	871
21	614	127
21	662	606
21	335	306
21	422	594
21	243	0
21	162	1906
21	92	855
22	102	127
23	15	0
23	791	355
23	430	94
23	883	0
23	721	223
23	433	786
23	401	127
23	221	319
23	909	0
23	317	291
23	784	74
23	106	103
23	889	193
23	440	23
23	292	0
23	709	0
23	206	236
23	858	411
23	502	199
24	161	442
24	437	363
24	205	695
24	579	271
24	117	654
24	831	225
24	229	236
24	988	284
25	718	1017
25	431	599
25	891	539
25	89	0
25	259	297
25	878	288
25	113	165
25	871	805
25	202	145
25	456	662
25	316	223
25	947	211
25	66	898
27	34	300
27	870	214
28	585	171
28	136	363
28	972	262
28	279	234
28	161	416
28	699	74
28	549	91
28	834	89
28	298	897
28	930	380
28	642	0
28	360	290
29	343	98
29	473	764
29	796	247
29	92	275
29	893	919
30	715	248
30	679	98
30	409	0
30	86	287
30	378	430
30	472	0
30	425	276
30	785	148
30	849	560
30	642	942
30	225	345
30	890	160
30	965	394
30	449	0
30	221	202
30	674	558
30	195	574
30	541	303
30	782	914
30	348	191
30	462	813
30	860	0
30	90	401
30	635	320
31	300	187
31	140	541
31	818	534
31	732	683
31	903	422
31	358	212
31	988	247
31	387	581
31	114	632
31	55	0
31	538	0
31	121	358
31	602	1072
32	752	525
32	709	293
32	292	0
32	51	78
32	689	341
34	590	423
34	181	0
34	124	709
34	395	281
34	715	981
34	297	481
34	74	0
34	525	0
34	568	373
34	41	100
34	48	891
34	225	7
36	842	382
36	530	165
36	395	128
36	324	0
36	976	288
36	656	662
36	343	114
36	585	0
36	335	530
36	288	236
36	662	215
36	772	15
36	162	343
36	348	169
36	469	256
36	869	121
36	893	518
36	938	131
37	532	372
37	577	10
37	768	207
37	132	216
37	647	314
37	731	732
37	824	627
38	970	279
38	547	0
38	912	235
38	673	708
38	609	498
38	148	256
38	495	607
38	360	176
38	118	295
38	927	257
39	602	344
39	115	1138
39	34	402
39	74	544
39	469	0
39	772	519
39	343	0
39	585	448
39	944	340
39	907	765
39	183	0
40	343	0
40	700	236
40	368	625
40	976	614
40	26	396
40	239	539
40	578	0
40	993	0
40	601	0
40	75	149
40	910	3
40	915	353
40	485	0
40	140	456
40	161	209
40	546	183
40	41	265
40	687	35
40	64	349
40	301	0
40	791	303
40	995	0
40	373	435
40	865	548
40	241	167
40	884	454
41	482	181
41	370	420
41	352	414
41	167	627
41	696	504
41	217	0
41	518	709
41	69	524
41	520	14
